description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315991'],nmdc:bsm-11-7zqzy682,['biosample:SAMEA7724144'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s015",13114.mousseau.88.s015
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315936'],nmdc:bsm-11-80vze961,['biosample:SAMEA7723655'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s077",13114.mousseau.88.s077
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315775'],nmdc:bsm-11-81chfb41,['biosample:SAMEA7723909'],"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s006",13114.mayer.33.s006
Oil palm plantation surface soil microbial communities from Singapore,['gold:Gb0240017'],nmdc:bsm-11-823zf212,['biosample:SAMEA7724296'],Oil palm plantation surface soil microbial communities from Singapore - Seedorf71.PP3soil.12,
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297451'],nmdc:bsm-11-83549014,['biosample:SAMEA7724034'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s019",13114.thomas.19.s019
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315430'],nmdc:bsm-11-84tnh227,['biosample:SAMEA7724133'],"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s014",13114.mcmahon.21.s014
"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica",['gold:Gb0315683'],nmdc:bsm-11-851ejn28,['biosample:SAMEA7723679'],"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica - 13114.pinto.63.s017",13114.pinto.63.s017
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315931'],nmdc:bsm-11-8806nw34,['biosample:SAMEA7723650'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s066",13114.mousseau.88.s066
Oil palm plantation surface soil microbial communities from Singapore,['gold:Gb0240015'],nmdc:bsm-11-89q03t84,['biosample:SAMEA7724294'],Oil palm plantation surface soil microbial communities from Singapore - Seedorf71.PP1soil.8,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315807'],nmdc:bsm-11-8a9nh559,['biosample:SAMEA7723695'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s012",13114.thomas.18.s012
"Fecal microbial communities from chicken in Zomba, Malawi",['gold:Gb0315865'],nmdc:bsm-11-8c18wc38,['biosample:SAMEA7723455'],"Fecal microbial communities from chicken in Zomba, Malawi - 13114.minich.76.s001",13114.minich.76.s001
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239981'],nmdc:bsm-11-8cp28w39,['biosample:SAMEA7724407'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.17.SO3.3",RoyChowdhury45.soil.17.SO3.3
"Sludge microbial communities from Ithaca, New York, USA",['gold:Gb0315438'],nmdc:bsm-11-8e432w27,['biosample:SAMEA7723848'],"Sludge microbial communities from Ithaca, New York, USA - 13114.angenent.65.s006",13114.angenent.65.s006
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315997'],nmdc:bsm-11-8f1zfs86,['biosample:SAMEA7724150'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s025",13114.mousseau.88.s025
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315924'],nmdc:bsm-11-8f9kza98,['biosample:SAMEA7723643'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s053",13114.mousseau.88.s053
"Lichen microbial communities from Michigan, USA",['gold:Gb0315690'],nmdc:bsm-11-8fbm4j90,['biosample:SAMEA7723551'],"Lichen microbial communities from Michigan, USA - 13114.uren.82.s001",13114.uren.82.s001
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315928'],nmdc:bsm-11-8gnt6y91,['biosample:SAMEA7723647'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s057",13114.mousseau.88.s057
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239973'],nmdc:bsm-11-8h8t5r67,['biosample:SAMEA7724242'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.9.SO1.8",RoyChowdhury45.soil.9.SO1.8
"Seawater microbial communities from English Channel, United Kingdom",['gold:Gb0297354'],nmdc:bsm-11-8p95bf71,['biosample:SAMEA7723539'],"Seawater microbial communities from English Channel, United Kingdom - 13114.tait.77.s001",13114.tait.77.s001
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315576'],nmdc:bsm-11-8pgw6j07,['biosample:SAMEA7724367'],"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK4.3B",13114.BLANK4.3B
"Fecal microbial communities from sand cat in National Zoo, Maryland, USA",['gold:Gb0315964'],nmdc:bsm-11-8pwwr630,['biosample:SAMEA7723979'],"Fecal microbial communities from sand cat in National Zoo, Maryland, USA - 13114.song.51.s010",13114.song.51.s010
"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia",['gold:Gb0315826'],nmdc:bsm-11-8qdykb22,['biosample:SAMEA7723714'],"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia - 13114.thomas.18.s036",13114.thomas.18.s036
"Stream sediment microbial communities from Animas River, San Juan County, Colorado, USA",['gold:Gb0315779'],nmdc:bsm-11-8qh0s869,['biosample:SAMEA7723913'],"Stream sediment microbial communities from Animas River, San Juan County, Colorado, USA - 13114.mayer.34.s007",13114.mayer.34.s007
Tropical desert sand microbial communities from Namibia,['gold:Gb0240108'],nmdc:bsm-11-8r7d4q55,['biosample:SAMEA7724405'],Tropical desert sand microbial communities from Namibia - Makhalanyane47.TDT1,
Banana cropland soil microbial communities from Singapore,['gold:Gb0239940'],nmdc:bsm-11-8s8j4g78,['biosample:SAMEA7724290'],Banana cropland soil microbial communities from Singapore - Seedorf71.JP3soil.22,
"Fecal microbial communities from florida manatee in South Florida Museum, Bradenton, FL, USA",['gold:Gb0315896'],nmdc:bsm-11-8sr7p656,['biosample:SAMEA7723538'],"Fecal microbial communities from florida manatee in South Florida Museum, Bradenton, FL, USA - 13114.song.75.s004",13114.song.75.s004
"Temperate coniferous forest soil microbial communities from Oregon, Lane County, USA",['gold:Gb0240066'],nmdc:bsm-11-8svvfc57,['biosample:SAMEA7724205'],"Temperate coniferous forest soil microbial communities from Oregon, Lane County, USA - Myrold5.soil.11.HJARA2",Myrold5.soil.11.HJARA2
"Stony coral microbial communities from Gulf of Panama, Saboga, Panama",['gold:Gb0297461'],nmdc:bsm-11-8txch869,['biosample:SAMEA7724056'],"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s004",13114.zaneveld.9.s004
"Marine sediment microbial communities from Caribbean Sea, Quintana Roo, Mexico",['gold:Gb0297326'],nmdc:bsm-11-8wend016,['biosample:SAMEA7723423'],"Marine sediment microbial communities from Caribbean Sea, Quintana Roo, Mexico - 13114.jensen.43.s013",13114.jensen.43.s013
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239969'],nmdc:bsm-11-8wmcdz56,['biosample:SAMEA7724238'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.5.SO3.8",RoyChowdhury45.soil.5.SO3.8
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315856'],nmdc:bsm-11-8xmhwv31,['biosample:SAMEA7724353'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s020",13114.thomas.18.s020
"Shipworm feces microbial communities from Massachusetts Bay, MA, USA",['gold:Gb0315786'],nmdc:bsm-11-8ym8ej29,['biosample:SAMEA7723886'],"Shipworm feces microbial communities from Massachusetts Bay, MA, USA - 13114.distel.72.s008",13114.distel.72.s008
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315833'],nmdc:bsm-11-8zevcq84,['biosample:SAMEA7723721'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s043",13114.thomas.18.s043
"Montane desert soil microbial communities from Puca Glacier, Peru",['gold:Gb0240010'],nmdc:bsm-11-915df738,['biosample:SAMEA7724278'],"Montane desert soil microbial communities from Puca Glacier, Peru - Schmidt56.soil.Peru.25.4",
"Fecal microbial communities from emu in National Zoo, Maryland, USA",['gold:Gb0315978'],nmdc:bsm-11-91tmwd33,['biosample:SAMEA7723993'],"Fecal microbial communities from emu in National Zoo, Maryland, USA - 13114.song.53.s007",13114.song.53.s007
"Pitcher plant fluid microbial communities from Weeks Bay, Alabama, USA",['gold:Gb0315737'],nmdc:bsm-11-9484e072,['biosample:SAMEA7723868'],"Pitcher plant fluid microbial communities from Weeks Bay, Alabama, USA - 13114.bittleston.68.s012",13114.bittleston.68.s012
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315753'],nmdc:bsm-11-9618bz78,['biosample:SAMEA7723438'],"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s003",13114.mayer.33.s003
"Stony coral microbial communities from Coral Bay, Australia",['gold:Gb0297365'],nmdc:bsm-11-96fvcn18,['biosample:SAMEA7723559'],"Stony coral microbial communities from Coral Bay, Australia - 13114.zaneveld.9.s017",13114.zaneveld.9.s017
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316002'],nmdc:bsm-11-97nam530,['biosample:SAMEA7724155'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s033",13114.mousseau.88.s033
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315571'],nmdc:bsm-11-9b41p224,['biosample:SAMEA7724362'],"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK3.3A",13114.BLANK3.3A
"Soil microbial communities from Franz Josef Land, Luigi island, Russia",['gold:Gb0297416'],nmdc:bsm-11-9b6dwv59,['biosample:SAMEA7723955'],"Soil microbial communities from Franz Josef Land, Luigi island, Russia - 13114.rohwer.84.s014",13114.rohwer.84.s014
"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica",['gold:Gb0315676'],nmdc:bsm-11-9b7p0p97,['biosample:SAMEA7723677'],"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica - 13114.pinto.63.s006",13114.pinto.63.s006
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297384'],nmdc:bsm-11-9dbj1f74,['biosample:SAMEA7723875'],"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s008",13114.bowen.74.s008
"Seawater microbial communities from North Pacific Ocean, Mexico",['gold:Gb0297377'],nmdc:bsm-11-9fqt6k62,['biosample:SAMEA7723687'],"Seawater microbial communities from North Pacific Ocean, Mexico - 13114.stewart.26.s007",13114.stewart.26.s007
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239977'],nmdc:bsm-11-9gpas427,['biosample:SAMEA7724246'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.13.SO2.1",RoyChowdhury45.soil.13.SO2.1
"Marine sediment microbial communities from English Channel, United Kingdom",['gold:Gb0297378'],nmdc:bsm-11-9h2thc88,['biosample:SAMEA7723688'],"Marine sediment microbial communities from English Channel, United Kingdom - 13114.tait.78.s001",13114.tait.78.s001
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315926'],nmdc:bsm-11-9hqn6g69,['biosample:SAMEA7723645'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s055",13114.mousseau.88.s055
"Temperate coniferous forest soil microbial communities from Oregon, Tillamook County, USA",['gold:Gb0240072'],nmdc:bsm-11-9hyrp995,['biosample:SAMEA7724199'],"Temperate coniferous forest soil microbial communities from Oregon, Tillamook County, USA - Myrold5.soil.5.CHRA2",Myrold5.soil.5.CHRA2
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240111'],nmdc:bsm-11-9kz3qt70,['biosample:SAMEA7723428'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.1.1.0.2",King27.Edge.1.1.0.2
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240025'],nmdc:bsm-11-9macc146,['biosample:SAMEA7724311'],"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.40m",
"Fish gut microbial communities Starbuck Island, Republic of Kiribati",['gold:Gb0315652'],nmdc:bsm-11-9nx0kw14,['biosample:SAMEA7723507'],"Fish gut microbial communities Starbuck Island, Republic of Kiribati - 13114.sandin.54.s015",13114.sandin.54.s015
"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean",['gold:Gb0297424'],nmdc:bsm-11-9pa76q69,['biosample:SAMEA7723964'],"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean - 13114.rohwer.85.s024",13114.rohwer.85.s024
Tropical desert sand microbial communities from Namibia,['gold:Gb0240105'],nmdc:bsm-11-9pjarn39,['biosample:SAMEA7727182'],Tropical desert sand microbial communities from Namibia - Makhalanyane47.TDS1,Makhalanyane47.TDS1
"Coalbed water microbial communities from mine in Alaska, USA",['gold:Gb0315460'],nmdc:bsm-11-9pkwtm92,['biosample:SAMEA7724042'],"Coalbed water microbial communities from mine in Alaska, USA - 13114.tucker.58.s011",13114.tucker.58.s011
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297488'],nmdc:bsm-11-9prd7p51,['biosample:SAMEA7724386'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s064",13114.thomas.19.s064
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297443'],nmdc:bsm-11-9q795f73,['biosample:SAMEA7724022'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s007",13114.thomas.19.s007
"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia",['gold:Gb0315827'],nmdc:bsm-11-9qcrmw23,['biosample:SAMEA7723715'],"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia - 13114.thomas.18.s037",13114.thomas.18.s037
"Lichen microbial communities from Michigan, USA",['gold:Gb0315691'],nmdc:bsm-11-9r6a7p14,['biosample:SAMEA7723552'],"Lichen microbial communities from Michigan, USA - 13114.uren.82.s002",13114.uren.82.s002
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315420'],nmdc:bsm-11-9rqfxk56,['biosample:SAMEA7723917'],"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s002",13114.mcmahon.21.s002
Desert gravel field soil microbial communities from Namibia,['gold:Gb0239949'],nmdc:bsm-11-9sd4k454,['biosample:SAMEA7724127'],Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP17,Makhalanyane46.TGP17
"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia",['gold:Gb0315847'],nmdc:bsm-11-9sq3t096,['biosample:SAMEA7724008'],"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia - 13114.thomas.18.s005",13114.thomas.18.s005
"Fecal microbial communities from king vulture in Atlanta Zoo, Georgia, USA",['gold:Gb0315893'],nmdc:bsm-11-9vgcbz56,['biosample:SAMEA7723535'],"Fecal microbial communities from king vulture in Atlanta Zoo, Georgia, USA - 13114.song.53.s010",13114.song.53.s010
"Montane desert soil microbial communities from Mustang Region, Nepal",['gold:Gb0239989'],nmdc:bsm-11-9vgv4n74,['biosample:SAMEA7724257'],"Montane desert soil microbial communities from Mustang Region, Nepal - Schmidt56.soil.Nepal.1",Schmidt56.soil.Nepal.1
"Stony coral microbial communities from Coral Bay, Australia",['gold:Gb0297459'],nmdc:bsm-11-9x1tvs80,['biosample:SAMEA7724054'],"Stony coral microbial communities from Coral Bay, Australia - 13114.zaneveld.9.s002",13114.zaneveld.9.s002
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297449'],nmdc:bsm-11-9ygnn102,['biosample:SAMEA7724032'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s017",13114.thomas.19.s017
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315988'],nmdc:bsm-11-9z8ahw85,['biosample:SAMEA7724141'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s012",13114.mousseau.88.s012
"Fecal microbial communities from zebra in Atlanta Zoo, Georgia, USA",['gold:Gb0315876'],nmdc:bsm-11-a0yff818,['biosample:SAMEA7723518'],"Fecal microbial communities from zebra in Atlanta Zoo, Georgia, USA - 13114.song.51.s017",13114.song.51.s017
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240031'],nmdc:bsm-11-a1mb8028,['biosample:SAMEA7724317'],"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.80m",
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297454'],nmdc:bsm-11-a1vfrr90,['biosample:SAMEA7724037'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s022",13114.thomas.19.s022
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240113'],nmdc:bsm-11-a23sez35,['biosample:SAMEA7723429'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.1.2.0.2",King27.Edge.1.2.0.2
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297341'],nmdc:bsm-11-a326yp77,['biosample:SAMEA7723487'],"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s015",13114.rohwer.85.s015
"Seawater microbial communities from Scripps Canyon, La Jolla, California, USA",['gold:Gb0297370'],nmdc:bsm-11-a48txp52,['biosample:SAMEA7723671'],"Seawater microbial communities from Scripps Canyon, La Jolla, California, USA - 13114.palenik.42.s002",13114.palenik.42.s002
"Fecal microbial communities from spider tortoise in National Zoo, Maryland, USA",['gold:Gb0315974'],nmdc:bsm-11-a57pz987,['biosample:SAMEA7723989'],"Fecal microbial communities from spider tortoise in National Zoo, Maryland, USA - 13114.song.52.s006",13114.song.52.s006
"Shipworm tissue microbial communities from Massachusetts Bay, MA, USA",['gold:Gb0316049'],nmdc:bsm-11-a9qf0z73,['biosample:SAMEA7723409'],"Shipworm tissue microbial communities from Massachusetts Bay, MA, USA - 13114.distel.72.s014",13114.distel.72.s014
"Fecal microbial communities from humpback whale in Sitka Sound, Alaska, USA",['gold:Gb0315860'],nmdc:bsm-11-aah1r855,['biosample:SAMEA7723412'],"Fecal microbial communities from humpback whale in Sitka Sound, Alaska, USA - 13114.girguis.50.s005",13114.girguis.50.s005
"Seawater microbial communities from North Pacific Ocean, Mexico",['gold:Gb0297376'],nmdc:bsm-11-abjmw824,['biosample:SAMEA7723686'],"Seawater microbial communities from North Pacific Ocean, Mexico - 13114.stewart.26.s003",13114.stewart.26.s003
"Coalbed water microbial communities from mine in Virginia, USA",['gold:Gb0315462'],nmdc:bsm-11-acjdxe56,['biosample:SAMEA7724044'],"Coalbed water microbial communities from mine in Virginia, USA - 13114.tucker.58.s014",13114.tucker.58.s014
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315843'],nmdc:bsm-11-acjrq541,['biosample:SAMEA7723731'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s054",13114.thomas.18.s054
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315809'],nmdc:bsm-11-af2ahh88,['biosample:SAMEA7723697'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s014",13114.thomas.18.s014
"Shipworm siphon microbial communities from Puget Sound, Washington, USA",['gold:Gb0315791'],nmdc:bsm-11-ajb5x617,['biosample:SAMEA7723407'],"Shipworm siphon microbial communities from Puget Sound, Washington, USA - 13114.distel.72.s005",13114.distel.72.s005
"Fecal microbial communities from lesser hedgehog tenrec in National Zoo, Maryland, USA",['gold:Gb0315968'],nmdc:bsm-11-ajqc6593,['biosample:SAMEA7723983'],"Fecal microbial communities from lesser hedgehog tenrec in National Zoo, Maryland, USA - 13114.song.51.s014",13114.song.51.s014
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315764'],nmdc:bsm-11-ak5ar333,['biosample:SAMEA7723612'],"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s005",13114.mayer.33.s005
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240121'],nmdc:bsm-11-anbvsb66,['biosample:SAMEA7723904'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Forest.1.8.10",
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316034'],nmdc:bsm-11-argbr578,['biosample:SAMEA7724187'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s101",13114.mousseau.88.s101
"Pitcher plant fluid microbial communities from Bukit Timah Nature Reserve, Singapore",['gold:Gb0315730'],nmdc:bsm-11-arpv5c98,['biosample:SAMEA7723861'],"Pitcher plant fluid microbial communities from Bukit Timah Nature Reserve, Singapore - 13114.bittleston.68.s005",13114.bittleston.68.s005
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315812'],nmdc:bsm-11-atd08q40,['biosample:SAMEA7723700'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s019",13114.thomas.18.s019
"Sediment microbial communities from Columbia River, Richland, WA, USA",['gold:Gb0315662'],nmdc:bsm-11-aty17e46,['biosample:SAMEA7724326'],"Sediment microbial communities from Columbia River, Richland, WA, USA - 13114.stegen.37.s005",13114.stegen.37.s005
"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica",['gold:Gb0315677'],nmdc:bsm-11-awbfcx71,['biosample:SAMEA7724229'],"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica - 13114.pinto.63.s002",13114.pinto.63.s002
"Lake sediment microbial communities from Norfolk County, Massachusetts, USA",['gold:Gb0315760'],nmdc:bsm-11-axfff262,['biosample:SAMEA7723601'],"Lake sediment microbial communities from Norfolk County, Massachusetts, USA - 13114.berry.2.s014",13114.berry.2.s014
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239971'],nmdc:bsm-11-axjxdc58,['biosample:SAMEA7724240'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.7.SO4.s5",RoyChowdhury45.soil.7.SO4.s5
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316041'],nmdc:bsm-11-aygsfg85,['biosample:SAMEA7724194'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s112",13114.mousseau.88.s112
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315944'],nmdc:bsm-11-azvyt007,['biosample:SAMEA7723663'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s091",13114.mousseau.88.s091
"Seawater microbial communities from English Channel, United Kingdom",['gold:Gb0297438'],nmdc:bsm-11-b0dbzb52,['biosample:SAMEA7724006'],"Seawater microbial communities from English Channel, United Kingdom - 13114.tait.77.s005",13114.tait.77.s005
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315940'],nmdc:bsm-11-b2202e02,['biosample:SAMEA7723659'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s085",13114.mousseau.88.s085
"Terrestrial rangeland soil microbial communities from Oregon, Sherman County, USA",['gold:Gb0240100'],nmdc:bsm-11-b5sgas28,['biosample:SAMEA7724214'],"Terrestrial rangeland soil microbial communities from Oregon, Sherman County, USA - Myrold59.soil.8.NRCS0176",
"Shipworm siphon microbial communities from Puget Sound, Washington, USA",['gold:Gb0315792'],nmdc:bsm-11-b74s9m33,['biosample:SAMEA7723606'],"Shipworm siphon microbial communities from Puget Sound, Washington, USA - 13114.distel.72.s002",13114.distel.72.s002
"Fecal microbial communities from humpback whale in Seymour Canal, Alaska, USA",['gold:Gb0315957'],nmdc:bsm-11-b9v3jc83,['biosample:SAMEA7723892'],"Fecal microbial communities from humpback whale in Seymour Canal, Alaska, USA - 13114.girguis.50.s006",13114.girguis.50.s006
"Marine sediment microbial communities from Northwest Atlantic Ocean, The Bahamas",['gold:Gb0297389'],nmdc:bsm-11-bam1pb18,['biosample:SAMEA7723895'],"Marine sediment microbial communities from Northwest Atlantic Ocean, The Bahamas - 13114.jensen.43.s003",13114.jensen.43.s003
"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean",['gold:Gb0297425'],nmdc:bsm-11-baywgw07,['biosample:SAMEA7723965'],"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean - 13114.rohwer.85.s026",13114.rohwer.85.s026
"Seawater microbial communities from North East Pacific Ocean, California, USA",['gold:Gb0297408'],nmdc:bsm-11-bb1k1c11,['biosample:SAMEA7723942'],"Seawater microbial communities from North East Pacific Ocean, California, USA - 13114.palenik.42.s019",13114.palenik.42.s019
"Lichen microbial communities from Michigan, USA",['gold:Gb0315699'],nmdc:bsm-11-bdv19h20,['biosample:SAMEA7724051'],"Lichen microbial communities from Michigan, USA - 13114.uren.82.s008",13114.uren.82.s008
Desert gravel field soil microbial communities from Namibia,['gold:Gb0239947'],nmdc:bsm-11-be37rn65,['biosample:SAMEA7724125'],Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP13,Makhalanyane46.TGP13
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315844'],nmdc:bsm-11-bea5je06,['biosample:SAMEA7723732'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s055",13114.thomas.18.s055
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316010'],nmdc:bsm-11-bg2n6v96,['biosample:SAMEA7724163'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s058",13114.mousseau.88.s058
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297421'],nmdc:bsm-11-bjm33p80,['biosample:SAMEA7723961'],"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s014",13114.rohwer.85.s014
"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica",['gold:Gb0315685'],nmdc:bsm-11-brg2nk42,['biosample:SAMEA7724233'],"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica - 13114.pinto.63.s018",13114.pinto.63.s018
