description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name,lcms_name,submitter_id,lcms_extraction_protocol
"Temperate coniferous forest soil microbial communities from Oregon, Lane County, USA",['gold:Gb0240066'],nmdc:bsm-11-8svvfc57,SAMEA7724205,"Temperate coniferous forest soil microbial communities from Oregon, Lane County, USA - Myrold5.soil.11.HJARA2",Myrold5.soil.11.HJARA2,,qiita_sid_13114:13114.myrold.5.s011,
"Stony coral microbial communities from Gulf of Panama, Saboga, Panama",['gold:Gb0297461'],nmdc:bsm-11-8txch869,SAMEA7724056,"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s004",13114.zaneveld.9.s004,,qiita_sid_13114:13114.zaneveld.9.s004,
"Marine sediment microbial communities from Caribbean Sea, Quintana Roo, Mexico",['gold:Gb0297326'],nmdc:bsm-11-8wend016,SAMEA7723423,"Marine sediment microbial communities from Caribbean Sea, Quintana Roo, Mexico - 13114.jensen.43.s013",13114.jensen.43.s013,1H5_3_6_jensen-43-s013-a04,qiita_sid_13114:13114.jensen.43.s013,Bulk_201901_UCSD
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239969'],nmdc:bsm-11-8wmcdz56,SAMEA7724238,"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.5.SO3.8",RoyChowdhury45.soil.5.SO3.8,,qiita_sid_13114:13114.roy.chowdhury.45.s005,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315856'],nmdc:bsm-11-8xmhwv31,SAMEA7724353,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s020",13114.thomas.18.s020,,qiita_sid_13114:13114.thomas.18.s020,Bulk_201901_UCSD
"Shipworm feces microbial communities from Massachusetts Bay, MA, USA",['gold:Gb0315786'],nmdc:bsm-11-8ym8ej29,SAMEA7723886,"Shipworm feces microbial communities from Massachusetts Bay, MA, USA - 13114.distel.72.s008",13114.distel.72.s008,,qiita_sid_13114:13114.distel.72.s008,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315833'],nmdc:bsm-11-8zevcq84,SAMEA7723721,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s043",13114.thomas.18.s043,4D8_1_37_thomas-18-s043-a04,qiita_sid_13114:13114.thomas.18.s043,Bulk_201901_UCSD
"Montane desert soil microbial communities from Puca Glacier, Peru",['gold:Gb0240010'],nmdc:bsm-11-915df738,SAMEA7724278,"Montane desert soil microbial communities from Puca Glacier, Peru - Schmidt56.soil.Peru.25.4",,,qiita_sid_13114:13114.schmidt.56.s022,Bulk_Seed_PNNL
"Fecal microbial communities from emu in National Zoo, Maryland, USA",['gold:Gb0315978'],nmdc:bsm-11-91tmwd33,SAMEA7723993,"Fecal microbial communities from emu in National Zoo, Maryland, USA - 13114.song.53.s007",13114.song.53.s007,,qiita_sid_13114:13114.song.53.s007,
"Pitcher plant fluid microbial communities from Weeks Bay, Alabama, USA",['gold:Gb0315737'],nmdc:bsm-11-9484e072,SAMEA7723868,"Pitcher plant fluid microbial communities from Weeks Bay, Alabama, USA - 13114.bittleston.68.s012",13114.bittleston.68.s012,,qiita_sid_13114:13114.bittleston.68.s012,
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315753'],nmdc:bsm-11-9618bz78,SAMEA7723438,"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s003",13114.mayer.33.s003,1H8_3_22_mayer-33-s003-a04,qiita_sid_13114:13114.mayer.33.s003,Bulk_201901_UCSD
"Stony coral microbial communities from Coral Bay, Australia",['gold:Gb0297365'],nmdc:bsm-11-96fvcn18,SAMEA7723559,"Stony coral microbial communities from Coral Bay, Australia - 13114.zaneveld.9.s017",13114.zaneveld.9.s017,4H10_7_48_zaneveld-9-s017-a04,qiita_sid_13114:13114.zaneveld.9.s017,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316002'],nmdc:bsm-11-97nam530,SAMEA7724155,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s033",13114.mousseau.88.s033,,qiita_sid_13114:13114.mousseau.88.s033,Bulk_201901_UCSD
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315571'],nmdc:bsm-11-9b41p224,SAMEA7724362,"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK3.3A",13114.BLANK3.3A,,qiita_sid_13114:13114.BLANK3.3A,
"Soil microbial communities from Franz Josef Land, Luigi island, Russia",['gold:Gb0297416'],nmdc:bsm-11-9b6dwv59,SAMEA7723955,"Soil microbial communities from Franz Josef Land, Luigi island, Russia - 13114.rohwer.84.s014",13114.rohwer.84.s014,,qiita_sid_13114:13114.rohwer.84.s014,
"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica",['gold:Gb0315676'],nmdc:bsm-11-9b7p0p97,SAMEA7723677,"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica - 13114.pinto.63.s006",13114.pinto.63.s006,4C6_3_75_pinto-63-s006-a04,qiita_sid_13114:13114.pinto.63.s006,Bulk_201901_UCSD
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297384'],nmdc:bsm-11-9dbj1f74,SAMEA7723875,"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s008",13114.bowen.74.s008,,qiita_sid_13114:13114.bowen.74.s008,
"Seawater microbial communities from North Pacific Ocean, Mexico",['gold:Gb0297377'],nmdc:bsm-11-9fqt6k62,SAMEA7723687,"Seawater microbial communities from North Pacific Ocean, Mexico - 13114.stewart.26.s007",13114.stewart.26.s007,,qiita_sid_13114:13114.stewart.26.s007,
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239977'],nmdc:bsm-11-9gpas427,SAMEA7724246,"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.13.SO2.1",RoyChowdhury45.soil.13.SO2.1,,qiita_sid_13114:13114.roy.chowdhury.45.s013,
"Marine sediment microbial communities from English Channel, United Kingdom",['gold:Gb0297378'],nmdc:bsm-11-9h2thc88,SAMEA7723688,"Marine sediment microbial communities from English Channel, United Kingdom - 13114.tait.78.s001",13114.tait.78.s001,,qiita_sid_13114:13114.tait.78.s001,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315926'],nmdc:bsm-11-9hqn6g69,SAMEA7723645,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s055",13114.mousseau.88.s055,6A11_4_78_mousseau-88-s055-a02,qiita_sid_13114:13114.mousseau.88.s055,Bulk_201901_UCSD
"Temperate coniferous forest soil microbial communities from Oregon, Tillamook County, USA",['gold:Gb0240072'],nmdc:bsm-11-9hyrp995,SAMEA7724199,"Temperate coniferous forest soil microbial communities from Oregon, Tillamook County, USA - Myrold5.soil.5.CHRA2",Myrold5.soil.5.CHRA2,,qiita_sid_13114:13114.myrold.5.s005,
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240111'],nmdc:bsm-11-9kz3qt70,SAMEA7723428,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.1.1.0.2",King27.Edge.1.1.0.2,1E1_1_71_king-27-s001-a04,qiita_sid_13114:13114.king.27.s001,Bulk_201901_UCSD
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240025'],nmdc:bsm-11-9macc146,SAMEA7724311,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.40m",,,qiita_sid_13114:13114.stegen.36.s005,Bulk_Seed_PNNL
"Fish gut microbial communities Starbuck Island, Republic of Kiribati",['gold:Gb0315652'],nmdc:bsm-11-9nx0kw14,SAMEA7723507,"Fish gut microbial communities Starbuck Island, Republic of Kiribati - 13114.sandin.54.s015",13114.sandin.54.s015,,qiita_sid_13114:13114.sandin.54.s015,
"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean",['gold:Gb0297424'],nmdc:bsm-11-9pa76q69,SAMEA7723964,"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean - 13114.rohwer.85.s024",13114.rohwer.85.s024,,qiita_sid_13114:13114.rohwer.85.s024,
Tropical desert sand microbial communities from Namibia,['gold:Gb0240105'],nmdc:bsm-11-9pjarn39,SAMEA7727182,Tropical desert sand microbial communities from Namibia - Makhalanyane47.TDS1,Makhalanyane47.TDS1,8C3_TDS1,qiita_sid_13114:13114.makhalanyane.47.s004,Bulk_Seed_PNNL
"Coalbed water microbial communities from mine in Alaska, USA",['gold:Gb0315460'],nmdc:bsm-11-9pkwtm92,SAMEA7724042,"Coalbed water microbial communities from mine in Alaska, USA - 13114.tucker.58.s011",13114.tucker.58.s011,,qiita_sid_13114:13114.tucker.58.s011,
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297488'],nmdc:bsm-11-9prd7p51,SAMEA7724386,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s064",13114.thomas.19.s064,,qiita_sid_13114:13114.thomas.19.s064,
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297443'],nmdc:bsm-11-9q795f73,SAMEA7724022,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s007",13114.thomas.19.s007,,qiita_sid_13114:13114.thomas.19.s007,
"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia",['gold:Gb0315827'],nmdc:bsm-11-9qcrmw23,SAMEA7723715,"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia - 13114.thomas.18.s037",13114.thomas.18.s037,4E6_1_66_thomas-18-s037-a03,qiita_sid_13114:13114.thomas.18.s037,Bulk_201901_UCSD
"Lichen microbial communities from Michigan, USA",['gold:Gb0315691'],nmdc:bsm-11-9r6a7p14,SAMEA7723552,"Lichen microbial communities from Michigan, USA - 13114.uren.82.s002",13114.uren.82.s002,3F5_2_30_uren-82-s002-a04,qiita_sid_13114:13114.uren.82.s002,Filter_201901_UCSD
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315420'],nmdc:bsm-11-9rqfxk56,SAMEA7723917,"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s002",13114.mcmahon.21.s002,,qiita_sid_13114:13114.mcmahon.21.s002,
Desert gravel field soil microbial communities from Namibia,['gold:Gb0239949'],nmdc:bsm-11-9sd4k454,SAMEA7724127,Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP17,Makhalanyane46.TGP17,,qiita_sid_13114:13114.makhalanyane.46.s009,Bulk_Seed_PNNL
"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia",['gold:Gb0315847'],nmdc:bsm-11-9sq3t096,SAMEA7724008,"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia - 13114.thomas.18.s005",13114.thomas.18.s005,,qiita_sid_13114:13114.thomas.18.s005,
"Fecal microbial communities from king vulture in Atlanta Zoo, Georgia, USA",['gold:Gb0315893'],nmdc:bsm-11-9vgcbz56,SAMEA7723535,"Fecal microbial communities from king vulture in Atlanta Zoo, Georgia, USA - 13114.song.53.s010",13114.song.53.s010,7E12_8_51_song-53-s010-a04,qiita_sid_13114:13114.song.53.s010,Swabs_201901_UCSD
"Montane desert soil microbial communities from Mustang Region, Nepal",['gold:Gb0239989'],nmdc:bsm-11-9vgv4n74,SAMEA7724257,"Montane desert soil microbial communities from Mustang Region, Nepal - Schmidt56.soil.Nepal.1",Schmidt56.soil.Nepal.1,,qiita_sid_13114:13114.schmidt.56.s001,Bulk_Seed_PNNL
"Stony coral microbial communities from Coral Bay, Australia",['gold:Gb0297459'],nmdc:bsm-11-9x1tvs80,SAMEA7724054,"Stony coral microbial communities from Coral Bay, Australia - 13114.zaneveld.9.s002",13114.zaneveld.9.s002,,qiita_sid_13114:13114.zaneveld.9.s002,
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297449'],nmdc:bsm-11-9ygnn102,SAMEA7724032,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s017",13114.thomas.19.s017,,qiita_sid_13114:13114.thomas.19.s017,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315988'],nmdc:bsm-11-9z8ahw85,SAMEA7724141,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s012",13114.mousseau.88.s012,,qiita_sid_13114:13114.mousseau.88.s012,
"Fecal microbial communities from zebra in Atlanta Zoo, Georgia, USA",['gold:Gb0315876'],nmdc:bsm-11-a0yff818,SAMEA7723518,"Fecal microbial communities from zebra in Atlanta Zoo, Georgia, USA - 13114.song.51.s017",13114.song.51.s017,7D6_8_36_song-51-s017-a04,qiita_sid_13114:13114.song.51.s017,Swabs_201901_UCSD
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240031'],nmdc:bsm-11-a1mb8028,SAMEA7724317,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.80m",,,qiita_sid_13114:13114.stegen.36.s011,Bulk_Seed_PNNL
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297454'],nmdc:bsm-11-a1vfrr90,SAMEA7724037,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s022",13114.thomas.19.s022,,qiita_sid_13114:13114.thomas.19.s022,
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240113'],nmdc:bsm-11-a23sez35,SAMEA7723429,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.1.2.0.2",King27.Edge.1.2.0.2,1A11_1_13_king-27-s003-a04,qiita_sid_13114:13114.king.27.s003,Bulk_201901_UCSD
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297341'],nmdc:bsm-11-a326yp77,SAMEA7723487,"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s015",13114.rohwer.85.s015,2D10_4_79_rohwer-85-s015-a03,qiita_sid_13114:13114.rohwer.85.s015,Bulk_201901_UCSD
"Seawater microbial communities from Scripps Canyon, La Jolla, California, USA",['gold:Gb0297370'],nmdc:bsm-11-a48txp52,SAMEA7723671,"Seawater microbial communities from Scripps Canyon, La Jolla, California, USA - 13114.palenik.42.s002",13114.palenik.42.s002,3D2_6_32_palenik-42-s002-a02,qiita_sid_13114:13114.palenik.42.s002,Filter_201901_UCSD
"Fecal microbial communities from spider tortoise in National Zoo, Maryland, USA",['gold:Gb0315974'],nmdc:bsm-11-a57pz987,SAMEA7723989,"Fecal microbial communities from spider tortoise in National Zoo, Maryland, USA - 13114.song.52.s006",13114.song.52.s006,,qiita_sid_13114:13114.song.52.s006,
"Shipworm tissue microbial communities from Massachusetts Bay, MA, USA",['gold:Gb0316049'],nmdc:bsm-11-a9qf0z73,SAMEA7723409,"Shipworm tissue microbial communities from Massachusetts Bay, MA, USA - 13114.distel.72.s014",13114.distel.72.s014,3G12_7_10_distel-72-s014-a03,qiita_sid_13114:13114.distel.72.s014,Filter_201901_UCSD
"Fecal microbial communities from humpback whale in Sitka Sound, Alaska, USA",['gold:Gb0315860'],nmdc:bsm-11-aah1r855,SAMEA7723412,"Fecal microbial communities from humpback whale in Sitka Sound, Alaska, USA - 13114.girguis.50.s005",13114.girguis.50.s005,5D6_3_74_girguis-50-s005-a04,qiita_sid_13114:13114.girguis.50.s005,Bulk_201901_UCSD
"Seawater microbial communities from North Pacific Ocean, Mexico",['gold:Gb0297376'],nmdc:bsm-11-abjmw824,SAMEA7723686,"Seawater microbial communities from North Pacific Ocean, Mexico - 13114.stewart.26.s003",13114.stewart.26.s003,,qiita_sid_13114:13114.stewart.26.s003,
"Coalbed water microbial communities from mine in Virginia, USA",['gold:Gb0315462'],nmdc:bsm-11-acjdxe56,SAMEA7724044,"Coalbed water microbial communities from mine in Virginia, USA - 13114.tucker.58.s014",13114.tucker.58.s014,,qiita_sid_13114:13114.tucker.58.s014,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315843'],nmdc:bsm-11-acjrq541,SAMEA7723731,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s054",13114.thomas.18.s054,4D6_1_26_thomas-18-s054-a04,qiita_sid_13114:13114.thomas.18.s054,Bulk_201901_UCSD
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315809'],nmdc:bsm-11-af2ahh88,SAMEA7723697,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s014",13114.thomas.18.s014,4G2_7_23_thomas-18-s013-a04,qiita_sid_13114:13114.thomas.18.s014,Bulk_201901_UCSD
"Shipworm siphon microbial communities from Puget Sound, Washington, USA",['gold:Gb0315791'],nmdc:bsm-11-ajb5x617,SAMEA7723407,"Shipworm siphon microbial communities from Puget Sound, Washington, USA - 13114.distel.72.s005",13114.distel.72.s005,6E9_7_43_distel-72-s005-a04,qiita_sid_13114:13114.distel.72.s005,Bulk_201901_UCSD
"Fecal microbial communities from lesser hedgehog tenrec in National Zoo, Maryland, USA",['gold:Gb0315968'],nmdc:bsm-11-ajqc6593,SAMEA7723983,"Fecal microbial communities from lesser hedgehog tenrec in National Zoo, Maryland, USA - 13114.song.51.s014",13114.song.51.s014,,qiita_sid_13114:13114.song.51.s014,
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315764'],nmdc:bsm-11-ak5ar333,SAMEA7723612,"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s005",13114.mayer.33.s005,1H3_3_12_mayer-33-s005-a04,qiita_sid_13114:13114.mayer.33.s005,Bulk_201901_UCSD
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240121'],nmdc:bsm-11-anbvsb66,SAMEA7723904,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Forest.1.8.10",,,qiita_sid_13114:13114.king.27.s011,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316034'],nmdc:bsm-11-argbr578,SAMEA7724187,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s101",13114.mousseau.88.s101,,qiita_sid_13114:13114.mousseau.88.s101,Bulk_201901_UCSD
"Pitcher plant fluid microbial communities from Bukit Timah Nature Reserve, Singapore",['gold:Gb0315730'],nmdc:bsm-11-arpv5c98,SAMEA7723861,"Pitcher plant fluid microbial communities from Bukit Timah Nature Reserve, Singapore - 13114.bittleston.68.s005",13114.bittleston.68.s005,,qiita_sid_13114:13114.bittleston.68.s005,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315812'],nmdc:bsm-11-atd08q40,SAMEA7723700,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s019",13114.thomas.18.s019,4G8_7_30_thomas-18-s019-a04,qiita_sid_13114:13114.thomas.18.s019,Bulk_201901_UCSD
"Sediment microbial communities from Columbia River, Richland, WA, USA",['gold:Gb0315662'],nmdc:bsm-11-aty17e46,SAMEA7724326,"Sediment microbial communities from Columbia River, Richland, WA, USA - 13114.stegen.37.s005",13114.stegen.37.s005,,qiita_sid_13114:13114.stegen.37.s005,
"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica",['gold:Gb0315677'],nmdc:bsm-11-awbfcx71,SAMEA7724229,"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica - 13114.pinto.63.s002",13114.pinto.63.s002,,qiita_sid_13114:13114.pinto.63.s002,Bulk_201901_UCSD
"Lake sediment microbial communities from Norfolk County, Massachusetts, USA",['gold:Gb0315760'],nmdc:bsm-11-axfff262,SAMEA7723601,"Lake sediment microbial communities from Norfolk County, Massachusetts, USA - 13114.berry.2.s014",13114.berry.2.s014,1B11_1_32_berry-2-s014-a04,qiita_sid_13114:13114.berry.2.s014,Bulk_201901_UCSD
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239971'],nmdc:bsm-11-axjxdc58,SAMEA7724240,"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.7.SO4.s5",RoyChowdhury45.soil.7.SO4.s5,,qiita_sid_13114:13114.roy.chowdhury.45.s007,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316041'],nmdc:bsm-11-aygsfg85,SAMEA7724194,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s112",13114.mousseau.88.s112,,qiita_sid_13114:13114.mousseau.88.s112,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315944'],nmdc:bsm-11-azvyt007,SAMEA7723663,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s091",13114.mousseau.88.s091,6B4_5_2_mousseau-88-s091-a02,qiita_sid_13114:13114.mousseau.88.s091,Bulk_201901_UCSD
"Seawater microbial communities from English Channel, United Kingdom",['gold:Gb0297438'],nmdc:bsm-11-b0dbzb52,SAMEA7724006,"Seawater microbial communities from English Channel, United Kingdom - 13114.tait.77.s005",13114.tait.77.s005,,qiita_sid_13114:13114.tait.77.s005,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315940'],nmdc:bsm-11-b2202e02,SAMEA7723659,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s085",13114.mousseau.88.s085,6C7_5_19_mousseau-88-s085-a02,qiita_sid_13114:13114.mousseau.88.s085,Bulk_201901_UCSD
"Terrestrial rangeland soil microbial communities from Oregon, Sherman County, USA",['gold:Gb0240100'],nmdc:bsm-11-b5sgas28,SAMEA7724214,"Terrestrial rangeland soil microbial communities from Oregon, Sherman County, USA - Myrold59.soil.8.NRCS0176",,,qiita_sid_13114:13114.myrold.59.s008,Bulk_Seed_PNNL
"Shipworm siphon microbial communities from Puget Sound, Washington, USA",['gold:Gb0315792'],nmdc:bsm-11-b74s9m33,SAMEA7723606,"Shipworm siphon microbial communities from Puget Sound, Washington, USA - 13114.distel.72.s002",13114.distel.72.s002,6F1_7_55_distel-72-s002-a04,qiita_sid_13114:13114.distel.72.s002,Bulk_201901_UCSD
"Fecal microbial communities from humpback whale in Seymour Canal, Alaska, USA",['gold:Gb0315957'],nmdc:bsm-11-b9v3jc83,SAMEA7723892,"Fecal microbial communities from humpback whale in Seymour Canal, Alaska, USA - 13114.girguis.50.s006",13114.girguis.50.s006,,qiita_sid_13114:13114.girguis.50.s006,
"Marine sediment microbial communities from Northwest Atlantic Ocean, The Bahamas",['gold:Gb0297389'],nmdc:bsm-11-bam1pb18,SAMEA7723895,"Marine sediment microbial communities from Northwest Atlantic Ocean, The Bahamas - 13114.jensen.43.s003",13114.jensen.43.s003,,qiita_sid_13114:13114.jensen.43.s003,
"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean",['gold:Gb0297425'],nmdc:bsm-11-baywgw07,SAMEA7723965,"Marine sediment microbial communities from Guatemala Basin, Pacific Ocean - 13114.rohwer.85.s026",13114.rohwer.85.s026,,qiita_sid_13114:13114.rohwer.85.s026,
"Seawater microbial communities from North East Pacific Ocean, California, USA",['gold:Gb0297408'],nmdc:bsm-11-bb1k1c11,SAMEA7723942,"Seawater microbial communities from North East Pacific Ocean, California, USA - 13114.palenik.42.s019",13114.palenik.42.s019,,qiita_sid_13114:13114.palenik.42.s019,
"Lichen microbial communities from Michigan, USA",['gold:Gb0315699'],nmdc:bsm-11-bdv19h20,SAMEA7724051,"Lichen microbial communities from Michigan, USA - 13114.uren.82.s008",13114.uren.82.s008,,qiita_sid_13114:13114.uren.82.s008,
Desert gravel field soil microbial communities from Namibia,['gold:Gb0239947'],nmdc:bsm-11-be37rn65,SAMEA7724125,Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP13,Makhalanyane46.TGP13,,qiita_sid_13114:13114.makhalanyane.46.s007,Bulk_Seed_PNNL
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315844'],nmdc:bsm-11-bea5je06,SAMEA7723732,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s055",13114.thomas.18.s055,4E7_1_67_thomas-18-s055-a04,qiita_sid_13114:13114.thomas.18.s055,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316010'],nmdc:bsm-11-bg2n6v96,SAMEA7724163,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s058",13114.mousseau.88.s058,,qiita_sid_13114:13114.mousseau.88.s058,Bulk_201901_UCSD
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297421'],nmdc:bsm-11-bjm33p80,SAMEA7723961,"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s014",13114.rohwer.85.s014,,qiita_sid_13114:13114.rohwer.85.s014,
"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica",['gold:Gb0315685'],nmdc:bsm-11-brg2nk42,SAMEA7724233,"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica - 13114.pinto.63.s018",13114.pinto.63.s018,,qiita_sid_13114:13114.pinto.63.s018,Bulk_201901_UCSD
"Sludge microbial communities from Ithaca, New York, USA",['gold:Gb0315436'],nmdc:bsm-11-bsrmnf74,SAMEA7723390,"Sludge microbial communities from Ithaca, New York, USA - 13114.angenent.65.s005",13114.angenent.65.s005,5A6_2_19_angenent-65-s005-a04,qiita_sid_13114:13114.angenent.65.s005,Bulk_201901_UCSD
"Temperate coniferous forest soil microbial communities from Colorado, Boulder, USA",['gold:Gb0240058'],nmdc:bsm-11-bswgga75,SAMEA7723446,"Temperate coniferous forest soil microbial communities from Colorado, Boulder, USA - Metcalf40.10141.F.CTRL.soil.T0.1",Metcalf40.10141.F.CTRL.soil.T0.1,1B4_1_22_metcalf-40-s005-a03,qiita_sid_13114:13114.metcalf.40.s005,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315933'],nmdc:bsm-11-bttqr502,SAMEA7723652,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s068",13114.mousseau.88.s068,5H6_4_59_mousseau-88-s068-a02,qiita_sid_13114:13114.mousseau.88.s068,Bulk_201901_UCSD
"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica",['gold:Gb0315684'],nmdc:bsm-11-bwac7r34,SAMEA7724230,"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica - 13114.pinto.63.s010",13114.pinto.63.s010,,qiita_sid_13114:13114.pinto.63.s010,Bulk_201901_UCSD
"Temperate woodland soil microbial communities from Oregon, Benton County, USA",['gold:Gb0240085'],nmdc:bsm-11-bx86p094,SAMEA7724221,"Temperate woodland soil microbial communities from Oregon, Benton County, USA - Myrold59.soil.15.NRCS0356",,,qiita_sid_13114:13114.myrold.59.s015,
